SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior
15,0.2917725996125,5.8202150346125,337.04452207637974,-0.01899930777668625,-1.6631317190266863,435.50072314447954,-1.7766814509578712,384,0.7,0.30000000000000004,405.9638628240496,-1.7426165313785158,NA
18,0.425490973625,5.953933408625,385.2657703099165,-0.04114889698338375,-1.6852813082333837,498.19543952693357,-1.8776626479618896,99,0.7,0.30000000000000004,464.31653876182844,-1.8199482460433378,NA
19,0.36543320075,5.89387563575,362.808677376042,0.0130816762229825,-1.6310507350270176,482.5096002451878,-1.6202700348362677,420,0.7,0.30000000000000004,446.59932338444406,-1.6235042448934927,NA
51,0.059239856743625,5.587682291743625,267.1158052093666,-0.09572744703151626,-1.7398598582815161,NA,NA,NA,NA,NA,NA,NA,NA
59,-0.527906045,5.00053639,148.49278779109451,-0.00119307579430125,-1.6453254870443013,180.28185685323882,-1.2641909231449522,62,0.62,0.38,168.20201060962398,-1.409022057426705,NA
62,-0.70400320775,4.82443922725,124.51662327215513,0.030396025637525,-1.613736385612475,NA,NA,NA,NA,NA,NA,NA,NA
63,0.12522265623765,5.65366509123765,285.33533174766444,-0.0898409339999375,-1.7339733452499375,395.87554415506855,-1.9221781895962198,1025,0.7,0.30000000000000004,362.71348043284735,-1.865716736292335,NA
65,0.15324656620475,5.68168900120475,293.44463995006214,0.087102163831125,-1.557030247418875,425.6646748137121,-1.4635983232221128,3043,0.7,0.30000000000000004,385.99866435461706,-1.4916279004811415,NA
66,0.1587678912165,5.6872103262164995,295.0693242578577,0.075353855024279,-1.568778556225721,451.0338485377386,-1.6024323364079107,444,0.7,0.30000000000000004,404.2444912537743,-1.592336202353254,NA
69,-0.0014755553044975,5.526966879695502,251.3802868747207,-0.04297164628845,-1.68710405753845,372.00769089772956,-1.7891439887694363,2738,0.7,0.30000000000000004,335.8194696908269,-1.7585320094001404,NA
93,0.467827828625,5.996270263625,401.92691299712686,-0.005619755812346525,-1.6497521670623465,530.5472650246826,-1.6618967202391213,1504,0.7,0.30000000000000004,491.96115941641585,-1.6582533542860889,NA
96,0.052821280557643124,5.581263715557643,265.4067926441648,-0.15668167136185,-1.80081408261185,301.5351780201382,-2.444163797511655,116,0.7,0.30000000000000004,290.69666240734614,-2.2511588830417137,NA
102,0.209235149455,5.737677584455,310.3428283894757,0.180419123010675,-1.463713288239325,436.98322953652803,-1.0210122455095951,50,0.5,0.5,373.66302896300186,-1.24236276687446,621
106,0.0055188920916475,5.533961327091647,253.1447164793979,-0.03227819631295,-1.67641060756295,338.06532526919887,-1.834793984513721,2443,0.7,0.30000000000000004,312.5891426322586,-1.7872789714284898,348
108,0.282504323975,5.810946758975,333.9351321434076,-0.135293288602125,-1.779425699852125,408.6910126660733,-1.9820319334315348,726,0.7,0.30000000000000004,386.2642485092736,-1.9212500633577116,679
113,0.145120874913125,5.673563309913125,291.06986082227127,0.0304780906221,-1.6136543206279,352.79285938800155,-2.2228368041562288,83,0.7,0.30000000000000004,334.27595981828244,-2.04008205909773,409
114,0.195465214907375,5.723907649907375,306.0987155936287,-0.0446210852406375,-1.6887534964906374,NA,NA,NA,NA,NA,NA,NA,529
118,-0.278761167013125,5.249681267986874,190.50553856704477,0.019924871251585,-1.624207539998415,NA,NA,NA,NA,NA,NA,NA,446
122,0.106514748487425,5.634957183487424,280.04692642095137,-0.063818405938875,-1.707950817188875,362.3214446536465,-1.9116205726934945,3550,0.7,0.30000000000000004,337.63908918383794,-1.8505196460421087,446
133,-0.461473186375,5.066969248625,158.69263983808088,0.1008999642496375,-1.5432324470003624,NA,NA,NA,NA,NA,NA,NA,358
134,-0.299524578565,5.228917856434999,186.59077622083637,0.00562966320046,-1.63850274804954,150.56138420222896,-2.5979883026324178,59,0.59,0.41000000000000003,165.33343492985802,-2.2045992252534377,348
135,0.091713302314625,5.620155737314625,275.93235285236045,-0.0166857336734375,-1.6608181449234374,NA,NA,NA,NA,NA,NA,NA,NA
140,-0.219457851183625,5.3089845838163745,202.14486297480957,0.0076996678148375,-1.6364327434351624,NA,NA,NA,NA,NA,NA,NA,NA
143,-0.4504486767,5.0779937583,160.45182765530546,0.1224524126443875,-1.5216799986056124,233.75635778907767,-1.5327016501626318,87,0.7,0.30000000000000004,211.764998748946,-1.529395154695526,358
202,0.254316616375,5.782759051375,324.6536920773105,0.02447291677795875,-1.6196594944720413,474.12024220817403,-1.5871833106308122,1321,0.7,0.30000000000000004,429.28027716891495,-1.5969261657831808,570
313,-0.1269338441291625,5.401508590870837,221.74067997265792,0.014785352762925625,-1.6293470584870744,NA,NA,NA,NA,NA,NA,NA,NA
322,0.773850033385,6.302292468385,545.8217560820507,-0.1433977170938375,-1.7875301283438374,NA,NA,NA,NA,NA,NA,NA,NA
353,0.0578215006298,5.5862639356298,266.73720842994675,-0.004044012821575,-1.648176424071575,NA,NA,NA,NA,NA,NA,NA,NA
475,-0.23148930419525,5.2969531308047495,199.72733888065332,0.00615309390905,-1.63797931734095,NA,NA,NA,NA,NA,NA,NA,NA
606,-0.3045468230207125,5.223895611979287,185.65602097891195,0.05673744797548375,-1.5873949632745161,NA,NA,NA,NA,NA,NA,NA,NA
732,-0.24240825602225,5.28603417897775,197.55838856997215,0.0069548321338125,-1.6371775791161876,NA,NA,NA,NA,NA,NA,NA,NA
742,0.08489133478345,5.613333769783449,274.05635756547935,-0.0066319199602487494,-1.6507643312102487,NA,NA,NA,NA,NA,NA,NA,NA
745,-0.0775842917695125,5.450858143230487,232.95799147929432,0.0052141091126125,-1.6389183021373874,NA,NA,NA,NA,NA,NA,NA,452
746,0.3002403037875,5.828682738787499,339.91063294714684,0.01601861259806325,-1.6281137986519367,459.0812457600853,-1.7317260314144105,1318,0.7,0.30000000000000004,423.33006191620376,-1.7006423615856685,562
748,-0.4189323513125,5.1095100836875,165.58921014306597,0.0055978764298375,-1.6385345348201625,NA,NA,NA,NA,NA,NA,NA,NA
749,-0.145055308467375,5.383387126532624,217.75860364667,-0.0651603122088575,-1.7092927234588575,NA,NA,NA,NA,NA,NA,NA,452
755,-0.3024732583325,5.225969176667499,186.04139015404448,-0.06805700397235374,-1.7121894152223538,NA,NA,NA,NA,NA,NA,NA,NA
756,-0.5150947817,5.013347653299999,150.40740614669716,0.241774292755125,-1.402358118494875,NA,NA,NA,NA,NA,NA,NA,NA
757,-0.55223375225,4.976208682749999,144.9238863316241,0.0853168622121125,-1.5588155490378874,256.3226673648057,-1.2253003035623566,136,0.7,0.30000000000000004,222.9030330548512,-1.3253548772050159,NA
800,0.26412720687435,5.7925696418743495,327.85441130543114,-0.0498450369205125,-1.6939774481705125,NA,NA,NA,NA,NA,NA,NA,NA
803,0.15772722703925,5.68616966203925,294.7624159042599,-0.055909729955025,-1.700042141205025,357.59544383399606,-1.9825264471360564,469,0.7,0.30000000000000004,338.74553545507524,-1.8977811553567472,403
810,-0.171387885433875,5.357054549566125,212.0992975250063,-0.0233266801450875,-1.6674590913950875,262.65819426260845,-1.9717344413769815,123,0.7,0.30000000000000004,247.4905252413278,-1.8804518363824134,284
814,0.334007221,5.862449656,351.584350698721,0.0836874460506375,-1.5604449651993624,503.19253088661304,-1.527338660052369,649,0.7,0.30000000000000004,457.7100768302454,-1.537270551596467,652
829,-0.65031243625,4.8781299987499995,131.3847443863741,0.009987631618875,-1.634144779631125,NA,NA,NA,NA,NA,NA,NA,NA
843,0.3638312213,5.8922736562999996,362.227930626982,0.07739421277880375,-1.5667381984711963,562.5101322722036,-1.2289392698873072,77,0.7,0.30000000000000004,502.4254717786371,-1.330278948462474,284
846,-0.1053134684444375,5.423128966555562,226.58699760316685,0.060053886163825,-1.584078525086175,286.125005527151,-1.735407273509628,89,0.7,0.30000000000000004,268.26360314995577,-1.690008648982592,NA
847,0.318432462625,5.846874897625,346.150931318162,-0.1413803373619625,-1.7855127486119624,424.93587915188493,-2.83338139289054,128,0.7,0.30000000000000004,401.300394801768,-2.5190207996069667,NA
902,0.40851575327475,5.936958188274749,378.78099493029356,-0.073333959205425,-1.717466370455425,NA,NA,NA,NA,NA,NA,NA,NA
990,0.224401181180775,5.752843616180774,315.0853694329387,-0.00549882764272,-1.64963123889272,NA,NA,NA,NA,NA,NA,NA,NA
